key	ic_filter_quantile	pc	topN	spearman	topN_overlap
P1_A	0.05	0.1	5000	0.9608797080050592	0.0872
P1_C	0.05	0.1	5000	0.9622758894763201	0.0732
P15_A	0.05	0.1	5000	0.9536927209632803	0.0292
P15_C	0.05	0.1	5000	0.9605736073726493	0.0358
P2_A	0.05	0.1	5000	0.9538051974694576	0.1848
P26_A	0.05	0.1	5000	0.9650441171329323	0.0608
P28_A	0.05	0.1	5000	0.9615604094351359	0.0556
P28_C	0.05	0.1	5000	0.9598075508361317	0.101
P3_C	0.05	0.1	5000	0.9319153190468894	0.0396
P31_A	0.05	0.1	5000	0.9585959553867849	0.0724
P31_C	0.05	0.1	5000	0.9588705936260757	0.0602
P36_A	0.05	0.1	5000	0.9654562260139482	0.1036
P36_C	0.05	0.1	5000	0.963232743662905	0.0964
P37_A	0.05	0.1	5000	0.9547451395934428	0.0368
P37_C	0.05	0.1	5000	0.9598463632834363	0.0564
P38_A	0.05	0.1	5000	0.9549140502492305	0.0184
P38_C	0.05	0.1	5000	0.9559735786747715	0.0418
P4_A	0.05	0.1	5000	0.9180429736404916	0.084
P4_C	0.05	0.1	5000	0.9366613777378664	0.084
P7_A	0.05	0.1	5000	0.9632379423916158	0.0476
P7_C	0.05	0.1	5000	0.9498918425894194	0.017
P8_A	0.05	0.1	5000	0.9585008516115867	0.0502
P8_C	0.05	0.1	5000	0.9476701685691084	0.0454
P9_A	0.05	0.1	5000	0.9548619235771745	0.0944
P9_C	0.05	0.1	5000	0.9559168196985572	0.0818
P1_A	0.1	0.1	5000	0.9626965001476959	0.1616
P1_C	0.1	0.1	5000	0.9638487184701724	0.1378
P15_A	0.1	0.1	5000	0.9560591499219622	0.068
P15_C	0.1	0.1	5000	0.963063020366759	0.0916
P2_A	0.1	0.1	5000	0.9568399131715447	0.2924
P26_A	0.1	0.1	5000	0.966759297077115	0.1342
P28_A	0.1	0.1	5000	0.9637022543509179	0.124
P28_C	0.1	0.1	5000	0.9605193876666032	0.1996
P3_C	0.1	0.1	5000	0.9324069129494401	0.0872
P31_A	0.1	0.1	5000	0.9593515689743143	0.1518
P31_C	0.1	0.1	5000	0.9599151845995729	0.128
P36_A	0.1	0.1	5000	0.9671501563348927	0.1934
P36_C	0.1	0.1	5000	0.9648534941160142	0.1886
P37_A	0.1	0.1	5000	0.9560452786787622	0.0818
P37_C	0.1	0.1	5000	0.96157445500447	0.1204
P38_A	0.1	0.1	5000	0.957071795407618	0.059
P38_C	0.1	0.1	5000	0.9586056237561422	0.0956
P4_A	0.1	0.1	5000	0.9173758245470657	0.1698
P4_C	0.1	0.1	5000	0.937030561713853	0.1712
P7_A	0.1	0.1	5000	0.9646981846102997	0.121
P7_C	0.1	0.1	5000	0.9515825374931629	0.042
P8_A	0.1	0.1	5000	0.960318885501757	0.1208
P8_C	0.1	0.1	5000	0.9481352730025597	0.109
P9_A	0.1	0.1	5000	0.9556318096343165	0.18
P9_C	0.1	0.1	5000	0.9570262917935249	0.1662
P1_A	0.15000000000000002	0.1	5000	0.9624842218112355	0.2006
P1_C	0.15000000000000002	0.1	5000	0.9634905459154263	0.1844
P15_A	0.15000000000000002	0.1	5000	0.9561930990786028	0.1022
P15_C	0.15000000000000002	0.1	5000	0.9634416083717142	0.1288
P2_A	0.15000000000000002	0.1	5000	0.9573888858761705	0.342
P26_A	0.15000000000000002	0.1	5000	0.9667116275819161	0.1904
P28_A	0.15000000000000002	0.1	5000	0.9637823961020905	0.168
P28_C	0.15000000000000002	0.1	5000	0.9594753329902966	0.2612
P3_C	0.15000000000000002	0.1	5000	0.930771582993012	0.1358
P31_A	0.15000000000000002	0.1	5000	0.9583189496239907	0.1994
